%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
178 1603 6.844371e-02 0 0 3.979988e-05 2.332842e-03 2.740521e-03 1.336575e-04 
179 1612 7.883593e-02 0 0 4.391620e-05 2.539590e-03 2.980811e-03 1.455625e-04 
180 1621 9.534889e-02 0 0 5.012680e-05 2.968802e-03 3.516336e-03 1.707744e-04 
181 1630 1.128946e-01 0 0 6.598328e-05 3.576553e-03 4.265236e-03 2.060267e-04 
182 1639 1.408182e-01 0 0 7.852177e-05 4.591293e-03 5.514557e-03 2.641283e-04 
183 1648 1.820604e-01 0 0 9.737890e-05 6.071548e-03 7.292468e-03 3.483793e-04 
184 1657 2.229446e-01 0 0 1.132550e-04 7.379903e-03 8.808352e-03 4.251408e-04 
185 1666 2.227465e-01 0 0 1.094954e-04 7.018489e-03 8.368045e-03 4.045096e-04 
186 1675 2.550405e-01 0 0 1.296776e-04 8.201314e-03 9.896256e-03 4.798514e-04 
187 1684 2.301195e-01 0 0 1.115182e-04 7.050507e-03 8.518094e-03 4.129845e-04 
188 1693 2.091995e-01 0 0 1.015733e-04 6.246422e-03 7.524369e-03 3.666858e-04 
189 1702 1.931719e-01 0 0 8.895018e-05 5.566463e-03 6.708633e-03 3.286858e-04 
190 1711 1.694338e-01 0 0 7.437175e-05 4.663913e-03 5.619966e-03 2.751621e-04 
191 1720 1.523306e-01 0 0 6.374541e-05 4.030677e-03 4.870522e-03 2.395980e-04 
192 1729 1.367112e-01 0 0 5.636236e-05 3.570654e-03 4.287945e-03 2.122553e-04 
193 1738 1.264002e-01 0 0 5.072426e-05 3.345067e-03 4.026618e-03 1.981284e-04 
194 1747 1.260451e-01 0 0 4.784597e-05 3.162826e-03 3.827337e-03 1.875914e-04 
195 1756 1.121243e-01 0 0 4.301902e-05 2.717921e-03 3.268154e-03 1.605152e-04 
196 1765 8.215785e-02 0 0 2.994423e-05 1.879846e-03 2.260145e-03 1.110170e-04 
197 1774 7.202163e-02 0 0 2.627821e-05 1.617140e-03 1.938064e-03 9.499729e-05 
198 1783 7.955812e-02 0 0 2.773817e-05 1.697122e-03 2.028102e-03 9.939935e-05 
199 1792 9.155973e-02 0 0 3.043315e-05 1.890021e-03 2.219746e-03 1.091619e-04 
